S&P Comp.,Dividend,Earnings,CPI,Long Interest Rate GS10,Real Price,Real Dividend,Real Total Return Price,Real Earnings,Real TR Scaled Earnings,CAPE,TR CAPE,Monthly Total Bond Returns,Real Total Bond Returns
6.37,0.21,0.45,7.61,3.13,262.99,8.57,590.2057466063349,18.48,82.15,20.59,25.04,1.0,6.06
6.46,0.21,0.47,7.8,3.14,260.2,8.43,590.2057466063349,18.9,84.49,20.2,24.49,1.0,5.94
6.02,0.21,0.48,7.9,3.15,239.56,8.36,590.2057466063349,19.1,85.64,18.51,22.42,1.0,5.88
6.10,0.22,0.48,7.9,3.15,242.74,8.66,590.2057466063349,19.1,85.89,18.67,22.59,1.0,5.9
6.21,0.23,0.48,7.99,3.15,244.18,8.85,590.2057466063349,18.87,85.13,18.7,22.6,1.0,5.84
6.26,0.23,0.48,7.99,3.14,246.14,9.14,590.2057466063349,18.87,85.39,18.78,22.66,1.0,5.86
6.34,0.24,0.48,7.99,3.14,249.29,9.44,590.2057466063349,18.87,85.66,18.94,22.83,1.0,5.88
6.04,0.25,0.48,7.8,3.13,243.29,9.97,590.2057466063349,19.33,88.05,18.4,22.17,1.0,6.04
5.86,0.26,0.48,7.71,3.13,238.95,10.4,590.2057466063349,19.57,89.46,17.99,21.67,1.0,6.13
5.86,0.26,0.48,7.8,3.13,236.03,10.57,590.2057466063349,19.33,88.7,17.69,21.29,1.0,6.08
5.94,0.27,0.48,7.71,3.12,242.21,11.01,590.2057466063349,19.57,90.13,18.07,21.75,1.0,6.17
5.80,0.28,0.48,7.8,3.12,233.62,11.18,590.2057466063349,19.33,89.39,17.34,20.87,1.0,6.11
5.80,0.28,0.48,7.8,3.12,233.62,11.18,590.2057466063349,19.33,89.39,17.34,20.87,1.0,6.11
6.48,0.29,0.48,7.71,3.11,264.23,11.93,590.2057466063349,19.57,91.19,19.42,23.37,1.0,6.22
6.87,0.3,0.48,7.61,3.1,283.63,12.39,590.2057466063349,19.82,92.67,20.74,24.95,1.0,6.32
7.07,0.3,0.48,7.71,3.1,288.29,12.3,590.2057466063349,19.64,92.17,20.98,25.22,1.0,6.26
7.25,0.3,0.48,7.61,3.11,299.32,12.52,590.2057466063349,19.95,93.96,21.68,26.05,1.0,6.35
7.51,0.31,0.49,7.61,3.11,310.06,12.59,590.2057466063349,20.02,94.61,22.35,26.84,1.0,6.37
8.14,0.31,0.49,7.52,3.12,340.32,12.82,590.2057466063349,20.35,96.45,24.41,29.29,1.0,6.46
7.73,0.31,0.49,7.52,3.13,323.18,12.89,590.2057466063349,20.42,97.09,23.06,27.66,1.0,6.47
8.50,0.31,0.49,7.52,3.13,355.37,12.96,590.2057466063349,20.49,97.72,25.24,30.24,1.0,6.49
7.93,0.31,0.49,7.61,3.14,327.4,12.87,590.2057466063349,20.3,97.15,23.14,27.71,1.0,6.42
8.04,0.31,0.49,7.71,3.15,327.84,12.78,590.2057466063349,20.11,96.58,23.08,27.61,1.0,6.35
8.00,0.32,0.5,7.8,3.15,322.23,12.69,590.2057466063349,19.94,96.04,22.59,27.01,1.0,6.29
8.00,0.32,0.5,7.8,3.15,322.23,12.69,590.2057466063349,19.94,96.04,22.59,27.01,1.0,6.29
8.08,0.32,0.5,7.9,3.17,321.53,12.67,590.2057466063349,19.83,96.15,22.38,26.71,1.0,6.24
7.95,0.32,0.5,7.99,3.17,312.59,12.58,590.2057466063349,19.66,95.65,21.68,25.87,1.0,6.17
8.12,0.32,0.51,7.9,3.18,323.12,12.77,590.2057466063349,20.33,99.22,22.34,26.64,1.0,6.26
8.19,0.32,0.52,7.9,3.19,325.91,12.8,590.2057466063349,20.76,101.67,22.46,26.76,1.0,6.27
8.20,0.32,0.53,7.9,3.2,326.31,12.83,590.2057466063349,21.19,104.11,22.41,26.67,1.0,6.28
8.48,0.32,0.54,7.99,3.21,333.43,12.71,590.2057466063349,21.36,105.29,22.82,27.14,1.0,6.22
8.46,0.32,0.55,8.09,3.22,328.73,12.6,590.2057466063349,21.53,106.48,22.43,26.64,1.0,6.16
8.41,0.33,0.57,8.18,3.23,322.99,12.48,590.2057466063349,21.7,107.64,21.96,26.06,1.0,6.1
8.60,0.33,0.58,8.18,3.24,330.29,12.51,590.2057466063349,22.11,110.04,22.39,26.53,1.0,6.11
8.83,0.33,0.59,8.09,3.25,343.11,12.69,590.2057466063349,22.8,113.8,23.17,27.42,1.0,6.19
8.85,0.33,0.6,8.18,3.26,339.89,12.58,590.2057466063349,22.95,114.9,22.86,27.02,1.0,6.13
8.85,0.33,0.6,8.18,3.26,339.89,12.58,590.2057466063349,22.95,114.9,22.86,27.02,1.0,6.13
8.24,0.33,0.62,8.47,3.28,305.8,12.22,590.2057466063349,22.98,115.81,20.41,24.08,1.0,5.95
8.05,0.33,0.63,8.56,3.29,295.42,12.11,590.2057466063349,23.12,116.92,19.63,23.15,1.0,5.89
8.46,0.33,0.62,8.66,3.3,307.06,12.04,590.2057466063349,22.56,114.48,20.32,23.93,1.0,5.84
8.41,0.33,0.61,8.66,3.31,305.24,12.1,590.2057466063349,22.26,113.31,20.11,23.67,1.0,5.85
8.08,0.34,0.61,8.37,3.32,303.26,12.57,590.2057466063349,22.71,115.98,19.88,23.4,1.0,6.06
7.75,0.34,0.6,8.37,3.33,290.88,12.64,590.2057466063349,22.4,114.81,18.98,22.33,1.0,6.08
7.60,0.34,0.59,8.18,3.33,291.88,12.99,590.2057466063349,22.59,116.25,18.95,22.29,1.0,6.23
7.18,0.34,0.58,8.18,3.34,275.75,13.06,590.2057466063349,22.28,115.06,17.82,20.96,1.0,6.24
6.85,0.34,0.57,8.18,3.35,263.08,13.12,590.2057466063349,21.96,113.89,16.92,19.91,1.0,6.26
6.63,0.34,0.56,8.18,3.36,254.63,13.18,590.2057466063349,21.63,112.7,16.3,19.19,1.0,6.27
6.47,0.35,0.56,8.28,3.37,245.63,13.1,590.2057466063349,21.07,110.25,15.65,18.45,1.0,6.21
6.47,0.35,0.56,8.28,3.37,245.63,13.1,590.2057466063349,21.07,110.25,15.65,18.45,1.0,6.21
6.28,0.35,0.54,8.09,3.38,244.02,13.53,590.2057466063349,20.92,110.46,15.41,18.2,1.0,6.38
6.57,0.35,0.53,8.09,3.39,255.29,13.6,590.2057466063349,20.59,109.24,16.04,18.97,1.0,6.4
6.68,0.35,0.53,8.28,3.4,253.6,13.16,590.2057466063349,20.0,106.52,15.86,18.78,1.0,6.26
6.50,0.34,0.52,8.47,3.41,241.22,12.74,590.2057466063349,19.42,103.91,15.02,17.8,1.0,6.14
6.48,0.34,0.52,8.37,3.41,243.21,12.76,590.2057466063349,19.52,104.89,15.08,17.9,1.0,6.22
6.64,0.34,0.52,8.28,3.42,252.08,12.78,590.2057466063349,19.62,105.87,15.57,18.49,1.0,6.31
6.50,0.33,0.51,8.09,3.43,252.57,12.95,590.2057466063349,19.95,108.1,15.53,18.46,1.0,6.47
6.51,0.33,0.51,8.09,3.43,252.96,12.82,590.2057466063349,19.82,107.86,15.47,18.42,1.0,6.48
6.78,0.33,0.51,8.09,3.44,263.45,12.69,590.2057466063349,19.69,107.6,16.04,19.11,1.0,6.5
7.01,0.32,0.5,8.18,3.45,269.22,12.42,590.2057466063349,19.33,106.04,16.3,19.45,1.0,6.44
7.32,0.32,0.5,8.28,3.45,277.9,12.15,590.2057466063349,18.98,104.51,16.74,19.99,1.0,6.38
7.32,0.32,0.5,8.28,3.45,277.9,12.15,590.2057466063349,18.98,104.51,16.74,19.99,1.0,6.38
8.17,0.31,0.49,8.47,3.47,303.2,11.63,590.2057466063349,18.31,101.46,18.08,21.61,1.0,6.26
8.25,0.31,0.49,8.47,3.47,306.17,11.5,590.2057466063349,18.18,101.1,18.16,21.72,1.0,6.28
8.43,0.31,0.51,8.47,3.48,312.85,11.57,590.2057466063349,18.74,104.51,18.46,22.09,1.0,6.29
8.80,0.31,0.52,8.47,3.48,326.58,11.63,590.2057466063349,19.3,107.94,19.17,22.94,1.0,6.31
9.05,0.32,0.54,8.37,3.47,339.67,11.82,590.2057466063349,20.08,112.64,19.83,23.74,1.0,6.41
8.94,0.32,0.55,8.37,3.47,335.54,11.89,590.2057466063349,20.64,116.14,19.48,23.33,1.0,6.43
8.50,0.32,0.57,8.28,3.46,322.69,12.08,590.2057466063349,21.45,121.05,18.63,22.31,1.0,6.52
8.60,0.32,0.58,8.28,3.46,326.49,12.15,590.2057466063349,22.02,124.65,18.74,22.45,1.0,6.54
8.87,0.32,0.6,8.28,3.46,336.74,12.21,590.2057466063349,22.59,128.26,19.21,23.01,1.0,6.56
9.20,0.32,0.61,8.37,3.45,345.3,12.13,590.2057466063349,22.89,130.38,19.57,23.45,1.0,6.51
9.23,0.33,0.63,8.28,3.45,350.41,12.34,590.2057466063349,23.73,135.52,19.74,23.65,1.0,6.61
9.23,0.33,0.63,8.28,3.45,350.41,12.34,590.2057466063349,23.73,135.52,19.74,23.65,1.0,6.61
9.31,0.33,0.66,8.37,3.44,349.43,12.32,590.2057466063349,24.58,141.23,19.44,23.28,1.0,6.57
9.54,0.33,0.67,8.47,3.43,354.04,12.25,590.2057466063349,24.86,143.26,19.58,23.43,1.0,6.52
9.87,0.34,0.68,8.47,3.43,366.29,12.46,590.2057466063349,25.14,145.27,20.13,24.08,1.0,6.54
9.80,0.34,0.69,8.47,3.45,363.69,12.68,590.2057466063349,25.42,147.3,19.87,23.75,1.0,6.55
9.56,0.35,0.69,8.47,3.47,354.78,12.9,590.2057466063349,25.7,149.37,19.26,23.02,1.0,6.56
9.43,0.35,0.7,8.47,3.49,349.96,13.11,590.2057466063349,25.98,151.46,18.88,22.56,1.0,6.57
9.18,0.36,0.71,8.56,3.51,336.89,13.18,590.2057466063349,25.96,151.87,18.05,21.57,1.0,6.5
9.30,0.37,0.72,8.56,3.53,341.3,13.4,590.2057466063349,26.24,153.98,18.17,21.72,1.0,6.51
9.06,0.37,0.72,8.28,3.55,343.95,14.08,590.2057466063349,27.43,161.51,18.2,21.75,1.0,6.74
9.73,0.38,0.73,8.47,3.57,361.09,13.98,590.2057466063349,27.09,160.04,18.97,22.67,1.0,6.6
10.03,0.38,0.74,8.56,3.59,368.09,14.04,590.2057466063349,27.07,160.39,19.2,22.94,1.0,6.53
10.03,0.38,0.74,8.56,3.59,368.09,14.04,590.2057466063349,27.07,160.39,19.2,22.94,1.0,6.53
9.93,0.39,0.75,8.85,3.63,352.66,14.0,590.2057466063349,26.73,159.43,18.14,21.68,1.0,6.34
9.84,0.4,0.76,8.94,3.65,345.75,14.05,590.2057466063349,26.7,159.85,17.66,21.11,1.0,6.28
9.56,0.4,0.75,8.85,3.67,339.52,14.32,590.2057466063349,26.7,160.36,17.22,20.6,1.0,6.36
9.26,0.41,0.74,9.04,3.69,321.94,14.14,590.2057466063349,25.84,155.8,16.22,19.41,1.0,6.23
8.35,0.41,0.74,8.94,3.7,293.39,14.41,590.2057466063349,25.83,156.34,14.69,17.6,1.0,6.31
8.39,0.41,0.73,8.94,3.72,294.8,14.52,590.2057466063349,25.53,155.2,14.67,17.59,1.0,6.32
8.10,0.42,0.72,9.13,3.74,278.68,14.34,590.2057466063349,24.71,150.86,13.79,16.56,1.0,6.2
7.84,0.42,0.71,9.23,3.75,266.96,14.3,590.2057466063349,24.18,148.24,13.14,15.81,1.0,6.15
8.14,0.42,0.7,9.23,3.77,277.17,14.41,590.2057466063349,23.89,147.14,13.59,16.36,1.0,6.16
7.53,0.43,0.69,9.23,3.79,256.4,14.53,590.2057466063349,23.61,146.06,12.51,15.09,1.0,6.17
7.45,0.43,0.69,9.23,3.8,253.68,14.64,590.2057466063349,23.32,145.01,12.33,14.9,1.0,6.18
7.45,0.43,0.69,9.23,3.8,253.68,14.64,590.2057466063349,23.32,145.01,12.33,14.9,1.0,6.18
6.25,0.44,0.67,8.94,3.84,219.61,15.34,590.2057466063349,23.48,147.64,10.59,12.86,1.0,6.4
6.57,0.44,0.66,8.75,3.85,235.87,15.8,590.2057466063349,23.69,149.8,11.33,13.8,1.0,6.55
6.85,0.44,0.65,8.66,3.87,248.62,15.85,590.2057466063349,23.71,150.71,11.9,14.52,1.0,6.64
6.60,0.43,0.65,8.56,3.86,242.21,15.9,590.2057466063349,23.73,151.67,11.55,14.13,1.0,6.74
6.87,0.43,0.64,8.56,3.85,252.12,15.78,590.2057466063349,23.49,150.88,11.98,14.68,1.0,6.76
7.24,0.43,0.63,8.66,3.84,262.78,15.49,590.2057466063349,22.99,148.39,12.45,15.28,1.0,6.71
7.63,0.42,0.63,8.66,3.83,276.93,15.36,590.2057466063349,22.75,147.52,13.08,16.07,1.0,6.74
7.64,0.42,0.62,8.66,3.82,277.3,15.24,590.2057466063349,22.5,146.61,13.05,16.06,1.0,6.77
7.92,0.42,0.61,8.75,3.82,284.33,14.96,590.2057466063349,22.02,144.08,13.35,16.44,1.0,6.72
8.26,0.41,0.61,8.75,3.81,296.54,14.84,590.2057466063349,21.78,143.12,13.88,17.12,1.0,6.75
8.17,0.41,0.6,8.75,3.8,293.31,14.72,590.2057466063349,21.54,142.13,13.7,16.92,1.0,6.77
8.17,0.41,0.6,8.75,3.8,293.31,14.72,590.2057466063349,21.54,142.13,13.7,16.92,1.0,6.77
8.83,0.4,0.59,8.94,3.78,310.26,14.17,590.2057466063349,20.61,137.1,14.44,17.85,1.0,6.68
9.03,0.4,0.58,9.04,3.77,313.95,13.91,590.2057466063349,20.16,134.61,14.58,18.04,1.0,6.64
9.06,0.4,0.6,8.94,3.76,318.34,14.17,590.2057466063349,20.91,140.07,14.76,18.28,1.0,6.73
8.80,0.41,0.61,9.04,3.77,305.95,14.14,590.2057466063349,21.21,142.64,14.17,17.55,1.0,6.68
8.92,0.41,0.63,9.04,3.79,310.12,14.25,590.2057466063349,21.73,146.71,14.34,17.77,1.0,6.69
9.32,0.41,0.64,9.23,3.8,317.35,14.07,590.2057466063349,21.79,147.68,14.65,18.16,1.0,6.57
9.63,0.42,0.66,9.32,3.81,324.56,14.04,590.2057466063349,22.08,150.13,14.95,18.55,1.0,6.51
9.80,0.42,0.67,9.42,3.82,326.95,14.01,590.2057466063349,22.35,152.56,15.04,18.66,1.0,6.46
9.94,0.42,0.69,9.42,3.84,331.62,14.12,590.2057466063349,22.85,156.53,15.23,18.9,1.0,6.48
10.18,0.43,0.7,9.51,3.85,336.23,14.09,590.2057466063349,23.12,158.91,15.42,19.13,1.0,6.43
10.19,0.43,0.72,9.61,3.86,333.23,14.06,590.2057466063349,23.38,161.28,15.25,18.93,1.0,6.38
10.19,0.43,0.72,9.61,3.86,333.23,14.06,590.2057466063349,23.38,161.28,15.25,18.93,1.0,6.38
10.18,0.44,0.75,9.9,3.89,323.3,13.87,590.2057466063349,23.66,164.36,14.75,18.29,1.0,6.22
10.30,0.44,0.76,9.99,3.9,324.0,13.84,590.2057466063349,23.91,166.66,14.75,18.3,1.0,6.17
10.08,0.44,0.76,9.9,3.91,320.12,14.05,590.2057466063349,24.06,168.32,14.55,18.05,1.0,6.25
9.72,0.45,0.76,9.9,3.92,308.69,14.13,590.2057466063349,23.98,168.41,14.0,17.37,1.0,6.26
9.96,0.45,0.75,10.09,3.92,310.35,13.94,590.2057466063349,23.45,165.3,14.05,17.44,1.0,6.16
9.72,0.45,0.75,10.18,3.93,300.04,13.89,590.2057466063349,23.15,163.84,13.56,16.83,1.0,6.12
9.56,0.45,0.75,9.99,3.93,300.72,14.23,590.2057466063349,23.51,167.06,13.57,16.85,1.0,6.26
9.10,0.46,0.75,9.9,3.94,289.0,14.45,590.2057466063349,23.66,168.81,13.02,16.18,1.0,6.33
8.64,0.46,0.74,9.9,3.95,274.39,14.53,590.2057466063349,23.58,168.98,12.34,15.35,1.0,6.35
8.85,0.46,0.74,9.8,3.95,283.79,14.75,590.2057466063349,23.73,170.78,12.75,15.86,1.0,6.43
8.91,0.46,0.74,9.7,3.96,288.52,14.98,590.2057466063349,23.88,172.62,12.94,16.11,1.0,6.51
8.91,0.46,0.74,9.7,3.96,288.52,14.98,590.2057466063349,23.88,172.62,12.94,16.11,1.0,6.51
9.31,0.47,0.73,9.23,3.97,317.01,15.92,590.2057466063349,24.94,181.79,14.16,17.65,1.0,6.89
9.05,0.47,0.73,9.23,3.97,308.16,16.0,590.2057466063349,24.86,181.96,13.74,17.14,1.0,6.91
9.27,0.47,0.72,9.23,3.98,315.65,16.0,590.2057466063349,24.46,179.8,14.05,17.53,1.0,6.93
9.43,0.47,0.71,8.94,3.98,331.34,16.51,590.2057466063349,24.83,183.3,14.72,18.37,1.0,7.17
9.32,0.47,0.7,9.04,3.99,324.03,16.34,590.2057466063349,24.16,179.12,14.37,17.94,1.0,7.12
9.28,0.47,0.68,8.75,3.99,333.16,16.87,590.2057466063349,24.53,182.61,14.75,18.43,1.0,7.37
9.48,0.47,0.67,8.75,3.99,340.34,16.87,590.2057466063349,24.11,180.25,15.05,18.81,1.0,7.39
9.67,0.47,0.66,8.75,3.99,347.16,16.87,590.2057466063349,23.69,177.83,15.33,19.16,1.0,7.42
9.63,0.47,0.65,8.85,4.0,342.01,16.69,590.2057466063349,23.02,173.5,15.08,18.86,1.0,7.36
9.17,0.47,0.64,9.13,4.0,315.49,16.17,590.2057466063349,21.91,165.78,13.9,17.39,1.0,7.15
8.67,0.47,0.63,9.23,4.0,295.22,16.0,590.2057466063349,21.28,161.78,13.0,16.28,1.0,7.1
8.67,0.47,0.63,9.23,4.0,295.22,16.0,590.2057466063349,21.28,161.78,13.0,16.28,1.0,7.1
9.07,0.47,0.6,9.13,4.01,312.05,16.17,590.2057466063349,20.7,158.76,13.73,17.23,1.0,7.22
9.11,0.47,0.59,9.04,4.01,316.73,16.34,590.2057466063349,20.51,157.99,13.93,17.49,1.0,7.32
9.12,0.47,0.6,9.13,4.01,313.77,16.2,590.2057466063349,20.62,159.46,13.79,17.34,1.0,7.27
9.04,0.47,0.61,9.23,4.05,307.82,16.06,590.2057466063349,20.71,160.91,13.53,17.02,1.0,7.19
9.30,0.47,0.62,9.42,4.08,310.27,15.76,590.2057466063349,20.6,160.73,13.64,17.17,1.0,7.05
9.59,0.47,0.63,9.7,4.12,310.54,15.33,590.2057466063349,20.29,158.97,13.65,17.2,1.0,6.85
9.58,0.47,0.64,9.7,4.16,310.21,15.36,590.2057466063349,20.59,161.95,13.65,17.2,1.0,6.85
9.58,0.48,0.65,9.61,4.19,313.28,15.53,590.2057466063349,21.09,166.6,13.79,17.38,1.0,6.92
9.59,0.48,0.65,9.61,4.23,313.61,15.56,590.2057466063349,21.39,169.68,13.8,17.41,1.0,6.92
9.81,0.48,0.66,9.7,4.27,317.66,15.44,590.2057466063349,21.48,171.04,13.98,17.65,1.0,6.86
9.86,0.48,0.67,9.8,4.3,316.18,15.31,590.2057466063349,21.56,172.42,13.93,17.58,1.0,6.8
9.86,0.48,0.67,9.8,4.3,316.18,15.31,590.2057466063349,21.56,172.42,13.93,17.58,1.0,6.8
9.73,0.48,0.69,9.8,4.38,312.01,15.37,590.2057466063349,22.15,178.56,13.75,17.37,1.0,6.81
9.38,0.48,0.7,9.7,4.41,303.74,15.54,590.2057466063349,22.67,183.49,13.39,16.92,1.0,6.88
9.30,0.48,0.69,9.8,4.45,298.22,15.39,590.2057466063349,22.26,180.98,13.15,16.62,1.01,6.82
8.97,0.48,0.69,9.8,4.43,287.64,15.39,590.2057466063349,22.07,180.24,12.68,16.04,1.01,6.85
8.80,0.48,0.68,9.8,4.4,282.19,15.39,590.2057466063349,21.89,179.54,12.44,15.75,1.01,6.89
8.79,0.48,0.68,9.8,4.38,281.87,15.39,590.2057466063349,21.7,178.82,12.43,15.74,1.01,6.93
8.55,0.48,0.67,9.7,4.35,277.0,15.55,590.2057466063349,21.73,179.93,12.22,15.49,1.01,7.04
8.12,0.48,0.67,9.8,4.33,260.38,15.39,590.2057466063349,21.32,177.42,11.49,14.58,1.01,7.01
8.23,0.48,0.66,9.9,4.31,261.24,15.24,590.2057466063349,20.92,174.94,11.53,14.65,1.01,6.98
8.45,0.48,0.65,9.9,4.28,268.23,15.24,590.2057466063349,20.74,174.2,11.85,15.06,1.01,7.02
8.53,0.48,0.65,10.0,4.26,268.06,15.08,590.2057466063349,20.35,171.73,11.84,15.07,1.01,6.98
8.53,0.48,0.65,10.0,4.26,268.06,15.08,590.2057466063349,20.35,171.73,11.84,15.07,1.01,6.98
8.05,0.48,0.64,10.1,4.21,250.47,14.93,590.2057466063349,19.78,168.6,11.07,14.12,1.01,6.99
8.04,0.48,0.63,10.0,4.18,252.66,15.08,590.2057466063349,19.8,169.57,11.17,14.27,1.01,7.1
8.37,0.48,0.62,10.0,4.16,263.03,14.93,590.2057466063349,19.51,167.88,11.64,14.88,1.0,7.14
8.48,0.47,0.61,9.9,4.17,269.18,14.92,590.2057466063349,19.42,167.86,11.91,15.24,1.0,7.23
8.32,0.47,0.6,9.9,4.17,264.1,14.76,590.2057466063349,19.13,166.11,11.69,14.97,1.0,7.25
8.12,0.46,0.59,9.8,4.18,260.38,14.75,590.2057466063349,19.03,166.02,11.52,14.78,1.0,7.35
8.17,0.46,0.58,9.9,4.19,259.34,14.44,590.2057466063349,18.54,162.58,11.48,14.74,1.0,7.3
8.13,0.45,0.58,9.9,4.19,258.07,14.28,590.2057466063349,18.25,160.75,11.43,14.69,1.0,7.32
7.68,0.45,0.57,10.0,4.2,241.35,13.98,590.2057466063349,17.78,157.36,10.69,13.77,1.0,7.26
7.68,0.44,0.56,10.2,4.21,236.62,13.56,590.2057466063349,17.15,152.51,10.49,13.53,1.0,7.14
7.68,0.44,0.55,10.2,4.21,236.62,13.4,590.2057466063349,16.87,150.7,10.5,13.56,1.0,7.16
7.68,0.44,0.55,10.2,4.21,236.62,13.4,590.2057466063349,16.87,150.7,10.5,13.56,1.0,7.16
7.68,0.43,0.53,10.2,4.23,236.62,13.09,590.2057466063349,16.3,147.02,10.52,13.62,1.0,7.21
7.35,0.42,0.52,10.1,4.23,228.69,13.07,590.2057466063349,16.18,146.59,10.17,13.19,1.0,7.3
7.48,0.42,0.55,10.1,4.24,232.74,13.09,590.2057466063349,17.11,155.77,10.36,13.46,1.0,7.32
7.38,0.42,0.58,10.0,4.22,231.92,13.25,590.2057466063349,18.23,166.7,10.33,13.44,1.0,7.43
7.57,0.42,0.61,9.9,4.21,240.29,13.41,590.2057466063349,19.36,177.92,10.71,13.94,1.0,7.54
8.14,0.42,0.64,10.0,4.19,255.8,13.3,590.2057466063349,20.11,185.6,11.4,14.86,1.0,7.5
7.95,0.42,0.67,10.1,4.18,247.36,13.2,590.2057466063349,20.85,193.23,11.03,14.38,1.0,7.46
8.04,0.43,0.7,10.1,4.16,250.16,13.22,590.2057466063349,21.78,202.78,11.15,14.55,1.0,7.5
8.01,0.43,0.73,10.1,4.15,249.23,13.25,590.2057466063349,22.71,212.4,11.11,14.5,1.0,7.54
8.35,0.43,0.76,10.1,4.13,259.8,13.28,590.2057466063349,23.65,222.07,11.58,15.11,1.0,7.57
8.66,0.43,0.79,10.1,4.11,269.45,13.3,590.2057466063349,24.58,231.79,12.01,15.66,1.0,7.61
8.66,0.43,0.79,10.1,4.11,269.45,13.3,590.2057466063349,24.58,231.79,12.01,15.66,1.0,7.61
9.46,0.43,0.85,10.3,4.08,288.63,13.09,590.2057466063349,25.93,246.43,12.86,16.74,1.0,7.53
9.48,0.43,0.88,10.3,4.07,289.24,13.12,590.2057466063349,26.85,256.1,12.88,16.75,1.0,7.56
9.33,0.44,0.93,10.4,4.05,281.92,13.32,590.2057466063349,28.23,270.32,12.54,16.3,1.0,7.53
9.20,0.45,0.99,10.4,4.07,277.99,13.65,590.2057466063349,29.86,287.14,12.35,16.03,1.0,7.54
9.17,0.46,1.04,10.5,4.08,274.45,13.84,590.2057466063349,31.19,301.12,12.18,15.79,1.0,7.49
9.07,0.47,1.1,10.6,4.1,268.9,14.03,590.2057466063349,32.52,315.39,11.91,15.42,1.0,7.43
9.27,0.48,1.15,10.7,4.11,272.26,14.22,590.2057466063349,33.8,329.25,12.03,15.55,1.0,7.38
9.36,0.5,1.21,10.8,4.13,272.35,14.4,590.2057466063349,35.06,343.01,12.0,15.49,1.0,7.33
9.23,0.51,1.26,10.8,4.14,268.57,14.72,590.2057466063349,36.63,360.01,11.79,15.21,1.0,7.34
9.30,0.52,1.31,10.9,4.16,268.13,14.9,590.2057466063349,37.85,373.73,11.73,15.11,1.0,7.29
9.68,0.53,1.37,11.1,4.17,274.05,14.93,590.2057466063349,38.73,384.11,11.94,15.36,1.0,7.18
9.68,0.53,1.37,11.1,4.17,274.05,14.93,590.2057466063349,38.73,384.11,11.94,15.36,1.0,7.18
10.21,0.55,1.48,11.5,4.2,279.0,15.01,590.2057466063349,40.33,403.62,12.05,15.44,1.0,6.96
9.80,0.56,1.53,11.6,4.22,265.49,15.17,590.2057466063349,41.45,416.75,11.41,14.6,1.0,6.91
9.57,0.57,1.51,11.7,4.23,257.04,15.33,590.2057466063349,40.53,409.54,10.99,14.04,1.0,6.87
9.03,0.58,1.49,12.0,4.26,236.48,15.23,590.2057466063349,38.97,395.86,10.06,12.84,1.0,6.71
9.31,0.59,1.47,12.0,4.29,243.81,15.52,590.2057466063349,38.44,392.61,10.33,13.17,1.0,6.72
9.17,0.6,1.45,12.6,4.32,228.71,15.05,590.2057466063349,36.09,370.59,9.64,12.29,1.0,6.4
8.86,0.61,1.43,12.8,4.34,217.52,15.08,590.2057466063349,35.01,361.58,9.14,11.65,1.0,6.31
9.04,0.63,1.41,13.0,4.37,218.53,15.11,590.2057466063349,33.96,352.8,9.15,11.67,1.0,6.22
8.79,0.64,1.38,12.8,4.4,215.8,15.61,590.2057466063349,33.98,355.08,9.0,11.49,1.0,6.33
8.53,0.65,1.36,13.0,4.43,206.2,15.63,590.2057466063349,32.95,346.49,8.57,10.95,1.0,6.24
8.12,0.66,1.34,13.3,4.46,191.86,15.54,590.2057466063349,31.73,335.96,7.95,10.17,1.0,6.11
8.12,0.66,1.34,13.3,4.46,191.86,15.54,590.2057466063349,31.73,335.96,7.95,10.17,1.0,6.11
7.04,0.68,1.3,13.5,4.51,163.88,15.81,590.2057466063349,30.28,325.55,6.75,8.69,1.0,6.04
6.80,0.69,1.28,13.7,4.54,155.98,15.83,590.2057466063349,29.36,318.29,6.41,8.28,1.0,5.96
7.21,0.68,1.26,14.0,4.57,161.84,15.26,590.2057466063349,28.19,308.03,6.64,8.6,1.0,5.84
7.43,0.67,1.23,14.1,4.56,165.6,14.93,590.2057466063349,27.46,302.25,6.78,8.81,1.0,5.82
7.28,0.66,1.21,14.0,4.56,163.41,14.81,590.2057466063349,27.12,300.74,6.69,8.7,1.0,5.89
7.21,0.65,1.18,14.2,4.55,159.56,14.38,590.2057466063349,26.18,292.55,6.52,8.51,1.0,5.83
7.44,0.64,1.16,14.5,4.55,161.25,13.87,590.2057466063349,25.12,282.69,6.58,8.61,1.0,5.73
7.45,0.63,1.14,14.7,4.54,159.27,13.47,590.2057466063349,24.26,275.0,6.5,8.52,1.0,5.68
7.51,0.62,1.11,15.1,4.54,156.29,12.9,590.2057466063349,23.12,263.86,6.37,8.38,1.0,5.55
7.58,0.61,1.09,15.4,4.53,154.68,12.45,590.2057466063349,22.18,254.82,6.3,8.31,1.0,5.47
7.54,0.6,1.06,15.7,4.52,150.92,12.01,590.2057466063349,21.28,246.06,6.15,8.12,1.0,5.39
7.54,0.6,1.06,15.7,4.52,150.92,12.01,590.2057466063349,21.28,246.06,6.15,8.12,1.0,5.39
8.06,0.58,1.01,16.3,4.51,155.39,11.18,590.2057466063349,19.55,228.85,6.33,8.4,1.0,5.23
7.90,0.57,0.99,16.5,4.51,150.46,10.86,590.2057466063349,18.86,222.06,6.13,8.15,1.0,5.19
