S&P Comp.,Dividend,Earnings,CPI,Long Interest Rate GS10,Real Price,Real Dividend,Real Total Return Price,Real Earnings,Real TR Scaled Earnings,CAPE,TR CAPE,Monthly Total Bond Returns,Real Total Bond Returns
4.46,0.32,0.36,8.85,3.58,158.4,11.36,353.48,12.61,28.14,12.91,16.58,1.0,2.95
4.46,0.32,0.35,8.75,3.57,160.12,11.43,359.44,12.48,28.01,13.04,16.77,1.0,2.99
4.74,0.32,0.34,8.75,3.56,170.17,11.37,384.13,12.21,27.55,13.86,17.83,1.0,3.0
4.59,0.32,0.33,8.66,3.55,166.6,11.43,378.22,12.07,27.4,13.57,17.47,1.0,3.05
4.59,0.32,0.33,8.66,3.55,166.6,11.43,378.22,12.07,27.4,13.57,17.47,1.0,3.05
4.35,0.31,0.32,8.37,3.54,163.27,11.7,375.07,11.92,27.38,13.3,17.17,1.0,3.17
4.34,0.31,0.31,8.28,3.53,164.76,11.77,380.76,11.77,27.2,13.43,17.36,1.0,3.22
4.24,0.3,0.31,8.28,3.52,160.97,11.55,374.21,11.64,27.07,13.13,16.99,1.0,3.23
4.37,0.3,0.3,8.37,3.51,164.02,11.2,383.47,11.38,26.61,13.38,17.33,1.0,3.21
4.38,0.29,0.3,8.18,3.5,168.22,11.23,395.47,11.52,27.09,13.73,17.8,1.0,3.3
4.37,0.29,0.3,8.28,3.48,165.9,10.88,392.17,11.26,26.63,13.55,17.58,1.0,3.27
4.32,0.28,0.29,8.09,3.47,167.86,10.91,398.95,11.4,27.09,13.71,17.8,1.0,3.36
4.30,0.28,0.29,7.9,3.46,171.11,10.94,408.84,11.54,27.57,13.98,18.17,1.0,3.46
4.46,0.27,0.29,7.99,3.45,175.37,10.58,421.11,11.27,27.07,14.33,18.63,1.0,3.43
4.71,0.26,0.28,7.99,3.43,185.2,10.35,446.79,11.14,26.87,15.13,19.68,1.0,3.44
4.65,0.26,0.28,7.9,3.42,185.04,10.25,448.47,11.14,27.0,15.12,19.66,1.0,3.5
4.65,0.26,0.28,7.9,3.42,185.04,10.25,448.47,11.14,27.0,15.12,19.66,1.0,3.5
5.24,0.25,0.27,7.99,3.4,206.04,9.66,503.45,10.75,26.26,16.82,21.88,1.0,3.48
5.20,0.24,0.27,8.18,3.38,199.71,9.22,489.86,10.37,25.44,16.3,21.19,1.0,3.42
5.20,0.24,0.28,7.99,3.37,204.46,9.37,503.44,10.81,26.62,16.69,21.69,1.0,3.51
5.30,0.24,0.28,7.99,3.38,208.4,9.31,515.03,11.01,27.21,17.01,22.09,1.0,3.52
5.19,0.24,0.29,7.9,3.4,206.53,9.35,512.35,11.34,28.13,16.84,21.87,1.0,3.56
5.12,0.23,0.29,7.8,3.41,206.23,9.4,513.54,11.68,29.09,16.8,21.81,1.0,3.61
5.02,0.23,0.3,7.61,3.42,207.26,9.57,518.09,12.18,30.45,16.86,21.89,1.0,3.71
5.25,0.23,0.3,7.52,3.43,219.5,9.62,550.68,12.54,31.47,17.83,23.13,1.0,3.77
5.33,0.23,0.31,7.61,3.45,220.05,9.43,554.06,12.59,31.71,17.85,23.13,1.0,3.73
5.37,0.23,0.31,7.71,3.46,218.97,9.24,553.26,12.64,31.94,17.72,22.95,1.0,3.69
5.51,0.23,0.32,7.71,3.47,224.68,9.17,569.62,12.84,32.56,18.15,23.48,1.0,3.69
5.51,0.23,0.32,7.71,3.47,224.68,9.17,569.62,12.84,32.56,18.15,23.48,1.0,3.69
5.79,0.22,0.33,7.71,3.5,236.09,9.04,602.45,13.25,33.82,18.97,24.5,1.0,3.71
5.64,0.22,0.33,7.8,3.51,227.17,8.86,581.57,13.29,34.03,18.19,23.49,1.0,3.67
5.58,0.22,0.33,7.99,3.52,219.41,8.75,563.55,13.07,33.58,17.51,22.59,1.0,3.59
5.54,0.23,0.34,8.09,3.53,215.27,8.74,554.8,13.02,33.55,17.13,22.08,1.0,3.55
5.67,0.23,0.34,8.09,3.55,220.32,8.84,569.72,13.11,33.91,17.47,22.52,1.0,3.56
5.80,0.23,0.34,8.09,3.56,225.37,8.94,584.71,13.21,34.28,17.82,22.95,1.0,3.57
5.90,0.23,0.34,8.09,3.57,229.26,9.03,596.74,13.31,34.64,18.08,23.26,1.0,3.57
5.73,0.24,0.35,7.99,3.58,225.3,9.24,588.45,13.57,35.43,17.71,22.78,1.0,3.62
5.59,0.24,0.35,7.9,3.6,222.45,9.45,583.05,13.83,36.24,17.43,22.42,1.0,3.67
5.45,0.24,0.35,7.99,3.61,214.29,9.44,563.74,13.76,36.2,16.74,21.52,1.0,3.64
5.38,0.24,0.35,7.9,3.62,214.09,9.65,565.32,14.03,37.04,16.68,21.43,1.0,3.69
5.38,0.24,0.35,7.9,3.62,214.09,9.65,565.32,14.03,37.04,16.68,21.43,1.0,3.69
5.30,0.25,0.36,8.09,3.65,205.94,9.62,548.07,13.89,36.97,15.95,20.5,1.0,3.61
5.27,0.25,0.36,8.28,3.66,200.07,9.49,534.54,13.67,36.52,15.46,19.86,1.0,3.54
5.31,0.25,0.35,8.37,3.67,199.3,9.32,534.55,13.2,35.41,15.36,19.73,1.0,3.51
5.28,0.25,0.34,8.28,3.65,200.45,9.37,539.74,13.03,35.09,15.42,19.81,1.0,3.56
5.08,0.25,0.34,8.28,3.63,192.86,9.3,521.38,12.72,34.38,14.81,19.03,1.0,3.58
5.10,0.24,0.33,8.18,3.62,195.87,9.34,531.63,12.55,34.06,15.02,19.3,1.0,3.64
5.17,0.24,0.32,8.09,3.6,200.89,9.39,547.39,12.37,33.7,15.39,19.77,1.0,3.7
5.01,0.24,0.31,7.99,3.58,196.99,9.44,538.9,12.19,33.35,15.08,19.38,1.0,3.76
5.14,0.24,0.3,8.09,3.56,199.73,9.26,548.49,11.72,32.19,15.28,19.64,1.0,3.73
5.25,0.24,0.29,8.09,3.54,204.0,9.2,562.34,11.4,31.42,15.6,20.05,1.0,3.75
5.38,0.24,0.29,8.09,3.52,209.05,9.13,578.36,11.07,30.64,15.99,20.54,1.0,3.76
5.38,0.24,0.29,8.09,3.52,209.05,9.13,578.36,11.07,30.64,15.99,20.54,1.0,3.76
5.24,0.23,0.27,8.28,3.49,198.93,8.8,554.39,10.19,28.39,15.22,19.56,1.0,3.71
5.14,0.23,0.26,8.28,3.47,195.14,8.73,545.84,9.87,27.61,14.95,19.21,1.0,3.73
5.24,0.23,0.26,7.99,3.45,206.04,9.01,578.44,10.35,29.07,15.8,20.31,1.0,3.88
5.30,0.23,0.27,7.9,3.45,210.91,9.08,594.23,10.61,29.9,16.19,20.81,1.0,3.93
5.19,0.23,0.27,7.8,3.45,209.05,9.16,591.15,10.88,30.75,16.07,20.65,1.0,3.99
5.18,0.23,0.27,7.8,3.44,208.65,9.13,592.16,11.01,31.24,16.05,20.63,1.0,4.01
5.32,0.23,0.28,7.61,3.44,219.64,9.32,625.57,11.42,32.54,16.92,21.73,1.0,4.12
5.41,0.23,0.28,7.61,3.44,223.36,9.29,638.36,11.56,33.04,17.22,22.11,1.0,4.13
5.30,0.22,0.28,7.61,3.44,218.82,9.26,627.59,11.7,33.55,16.89,21.68,1.0,4.15
5.37,0.22,0.29,7.61,3.43,221.71,9.22,638.08,11.84,34.07,17.13,21.97,1.0,4.16
5.50,0.22,0.29,7.71,3.43,224.27,9.07,647.63,11.83,34.15,17.35,22.24,1.0,4.12
5.50,0.22,0.29,7.71,3.43,224.27,9.07,647.63,11.83,34.15,17.35,22.24,1.0,4.12
5.35,0.22,0.3,7.71,3.43,218.15,9.0,634.3,12.1,35.18,16.91,21.64,1.0,4.14
5.32,0.22,0.3,7.8,3.42,214.28,8.86,625.2,12.08,35.26,16.61,21.25,1.0,4.11
